MAG,LOCAL DATETIME,LAT,LON,DEPTH
1.2,05/04/2022 16:59,38.835N,122.745W,0.66
0.3,05/04/2022 16:40,38.814N,122.818W,2.8
2,05/04/2022 16:31,40.142N,123.823W,22.9
1.1,05/04/2022 16:26,35.736N,117.543W,3.27
1.5,05/04/2022 16:12,35.038N,117.676W,-0.78
1.2,05/04/2022 16:04,38.831N,122.802W,1.75
1.7,05/04/2022 15:43,38.831N,122.802W,1.83
1.3,05/04/2022 15:37,38.776N,122.771W,1.94
1.6,05/04/2022 14:51,38.752N,122.727W,1.13
-0.1,05/04/2022 14:50,38.752N,122.727W,0.88
0.8,05/04/2022 14:47,38.795N,122.758W,2.56
1.7,05/04/2022 14:30,38.147N,117.980W,10.8
2,05/04/2022 13:21,37.072N,115.146W,0
1.1,05/04/2022 13:13,33.868N,117.504W,-0.53
1.2,05/04/2022 12:53,38.843N,122.840W,2.25
1.2,05/04/2022 11:20,33.911N,116.787W,17.52
1.2,05/04/2022 11:08,36.069N,117.859W,1.8
1.3,05/04/2022 10:55,36.070N,117.861W,1.81
1.1,05/04/2022 09:41,36.104N,117.895W,5.51
0.5,05/04/2022 09:38,38.825N,122.804W,2.7
2.5,05/04/2022 09:37,40.348N,121.343W,7.21
1.1,05/04/2022 09:28,35.802N,117.624W,7.83
1.5,05/04/2022 09:17,34.046N,117.165W,10.56
1.1,05/04/2022 09:11,33.968N,117.004W,5.71
0.7,05/04/2022 08:52,33.671N,116.771W,10.88
0.8,05/04/2022 08:45,38.168N,118.139W,12.8
1.4,05/04/2022 08:29,36.073N,117.861W,1.99
1.6,05/04/2022 08:28,36.072N,117.858W,1.87
1.7,05/04/2022 08:22,39.350N,118.100W,11.4
1.3,05/04/2022 08:11,37.407N,118.588W,12.07
0.7,05/04/2022 07:37,33.678N,116.767W,11.28
0.4,05/04/2022 07:23,36.977N,117.877W,8.1
1.5,05/04/2022 07:20,38.711N,122.909W,8.05
0.3,05/04/2022 07:19,33.938N,116.700W,16.44
1.4,05/04/2022 07:12,38.820N,122.802W,2.77
1,05/04/2022 07:08,37.008N,121.468W,6.61
1,05/04/2022 07:01,36.014N,120.573W,3.79
0.7,05/04/2022 06:42,39.233N,120.087W,7.4
1,05/04/2022 06:02,33.877N,116.857W,14.45
0.7,05/04/2022 05:59,33.948N,116.704W,12.55
1.5,05/04/2022 05:32,35.892N,117.731W,3.79
1.8,05/04/2022 05:22,36.803N,121.384W,5.95
1.5,05/04/2022 05:18,38.169N,117.888W,10.4
0.6,05/04/2022 05:10,40.163N,119.646W,9.5
1.3,05/04/2022 05:05,36.182N,118.158W,6.18
0.7,05/04/2022 05:02,36.111N,117.838W,6.78
0.2,05/04/2022 04:41,36.723N,116.356W,6.4
1.7,05/04/2022 04:23,34.439N,119.289W,6.95
1,05/04/2022 04:13,33.487N,116.757W,7.65
0.7,05/04/2022 04:13,33.486N,116.756W,6.89
0.9,05/04/2022 04:00,33.310N,116.314W,10.75
0.5,05/04/2022 03:51,37.602N,118.804W,3.92
2.4,05/04/2022 03:47,33.306N,116.319W,10.75
1.4,05/04/2022 03:25,36.163N,118.025W,1.68
2.6,05/04/2022 03:17,40.318N,124.365W,27.46
2.4,05/04/2022 03:05,40.347N,121.346W,7.83
0.1,05/04/2022 02:47,38.775N,122.738W,1.14
1.7,05/04/2022 02:15,35.485N,118.177W,3.08
1.1,05/04/2022 01:20,36.803N,121.388W,5.57
0.7,05/04/2022 01:09,33.584N,116.808W,8.84
2.5,05/04/2022 01:05,40.138N,123.823W,22.9
0.8,05/04/2022 01:05,34.163N,117.399W,2.98
0.4,05/04/2022 01:05,34.158N,117.400W,2.33
1,05/04/2022 00:44,37.367N,121.746W,2.89
0.3,04/04/2022 23:59,33.672N,116.769W,11.55
1.1,04/04/2022 23:32,38.506N,119.533W,5.6
2.1,04/04/2022 23:30,35.722N,117.573W,8.35
0.5,04/04/2022 23:20,36.593N,115.933W,0
0,04/04/2022 23:14,36.690N,116.313W,9.1
0.4,04/04/2022 22:49,38.826N,122.786W,1.93
0,04/04/2022 22:42,36.758N,116.253W,5.4
0.9,04/04/2022 22:25,34.231N,117.450W,12.42
0,04/04/2022 22:25,36.698N,116.319W,9.3
1.5,04/04/2022 22:18,38.619N,118.455W,6.9
0.9,04/04/2022 21:49,33.683N,116.659W,18.63
0.9,04/04/2022 21:46,37.005N,121.460W,8.07
-0.2,04/04/2022 21:42,36.836N,116.194W,6.2
0,04/04/2022 21:33,37.036N,116.359W,10
1.2,04/04/2022 21:23,38.860N,122.814W,1.04
0.4,04/04/2022 21:02,35.864N,117.686W,8.25
0.5,04/04/2022 20:56,35.865N,117.688W,7.88
0.5,04/04/2022 20:41,38.818N,122.763W,1.65
1.4,04/04/2022 20:40,37.896N,118.558W,6.85
1.2,04/04/2022 19:39,37.394N,118.720W,16.43
0.1,04/04/2022 19:20,36.780N,115.931W,10
0.9,04/04/2022 19:14,34.124N,117.429W,8.87
1.7,04/04/2022 19:02,37.210N,118.571W,13.93
1.2,04/04/2022 18:37,37.173N,122.350W,11.41
1.1,04/04/2022 18:29,37.088N,121.822W,12.45
0.5,04/04/2022 18:02,38.823N,122.810W,1.28
1.3,04/04/2022 17:59,38.825N,122.853W,2.5
-0.1,04/04/2022 17:19,36.845N,115.981W,9.3
0.8,04/04/2022 17:16,38.859N,122.835W,1.49
0.7,04/04/2022 17:09,38.860N,122.834W,1.4
0.4,04/04/2022 17:09,38.861N,122.832W,1.44
0.7,04/04/2022 17:09,38.862N,122.837W,1.05
1.1,04/04/2022 17:09,38.865N,122.836W,1.55
0.2,04/04/2022 17:08,38.824N,122.803W,2.56
0.8,04/04/2022 17:06,38.859N,122.836W,1.14
1.4,04/04/2022 17:06,38.859N,122.836W,1.36
1.2,04/04/2022 17:05,38.858N,122.836W,1.04
1.4,04/04/2022 17:04,38.858N,122.836W,1.26
1.4,04/04/2022 17:03,38.858N,122.835W,1.11
1.3,04/04/2022 17:01,38.770N,122.737W,1.11
0.7,04/04/2022 17:00,38.860N,122.836W,0.81
0.4,04/04/2022 16:42,33.485N,116.552W,7.8
0.4,04/04/2022 16:21,38.840N,122.876W,2.49
0.1,04/04/2022 16:19,38.838N,122.879W,4.23
1.9,04/04/2022 14:40,36.533N,113.508W,10.5
0.9,04/04/2022 14:38,38.827N,122.799W,1.97
0.8,04/04/2022 14:21,33.401N,116.891W,5.93
2.8,04/04/2022 14:16,40.481N,124.219W,21.43
1.8,04/04/2022 14:14,40.338N,123.754W,20.69
1,04/04/2022 14:03,37.299N,122.066W,5.74
0.9,04/04/2022 13:54,38.798N,122.751W,2.19
1.3,04/04/2022 13:46,34.510N,118.797W,14.81
1,04/04/2022 13:27,35.851N,117.658W,8.2
0.6,04/04/2022 13:16,38.818N,122.765W,2.32
1.2,04/04/2022 13:03,38.812N,122.816W,3.04
-0.1,04/04/2022 12:54,35.591N,117.353W,5.18
1.5,04/04/2022 12:52,35.010N,119.193W,9.84
1.7,04/04/2022 12:50,32.907N,116.955W,-0.17
0.9,04/04/2022 12:41,35.671N,117.520W,6.64
2.1,04/04/2022 12:32,35.867N,121.450W,5.3
0.4,04/04/2022 12:09,38.796N,122.768W,1.27
1,04/04/2022 12:01,34.378N,120.002W,0.82
1.3,04/04/2022 11:52,34.994N,118.177W,-0.82
0.3,04/04/2022 11:36,38.805N,122.780W,1.58
0.9,04/04/2022 11:32,38.800N,122.751W,2.19
0.8,04/04/2022 11:07,34.062N,118.126W,9.42
0.7,04/04/2022 11:02,34.066N,116.804W,12.04
1.2,04/04/2022 11:01,34.057N,117.264W,16.36
0.5,04/04/2022 10:59,38.162N,118.057W,10.2
1.5,04/04/2022 10:58,38.788N,122.725W,1.28
2.5,04/04/2022 10:56,34.426N,120.006W,1.53
2.5,04/04/2022 10:49,38.164N,118.043W,11.6
0.6,04/04/2022 10:31,35.916N,117.745W,7.23
0.7,04/04/2022 10:31,35.913N,117.740W,6.7
2.5,04/04/2022 10:25,34.000N,119.102W,9.32
1.4,04/04/2022 10:01,33.820N,117.486W,2.27
0.6,04/04/2022 09:53,38.794N,122.757W,2.85
1.2,04/04/2022 09:51,38.807N,122.779W,1.98
0.3,04/04/2022 09:47,35.890N,120.438W,9.22
0.9,04/04/2022 09:45,38.845N,122.774W,1.16
0.7,04/04/2022 09:15,38.810N,122.822W,2.4
1.1,04/04/2022 09:14,38.134N,117.994W,11.9
0.9,04/04/2022 08:52,33.523N,116.533W,12.16
0.4,04/04/2022 08:52,38.832N,122.816W,1.17
0.9,04/04/2022 08:43,38.812N,122.825W,2.45
-0.1,04/04/2022 08:38,35.832N,117.656W,10.63
3.8,04/04/2022 08:18,40.482N,124.219W,21.41
4.1,04/04/2022 08:16,40.487N,124.210W,21.4
0.6,04/04/2022 07:34,35.862N,117.658W,11.73
-0.1,04/04/2022 07:28,35.711N,117.451W,2.69
1.2,04/04/2022 07:23,38.824N,122.763W,2.4
0.9,04/04/2022 07:15,35.663N,117.520W,10.2
0.4,04/04/2022 07:07,33.529N,116.534W,13.05
1,04/04/2022 06:48,38.187N,117.856W,12
0.5,04/04/2022 06:32,38.816N,122.758W,1.09
1.8,04/04/2022 06:26,37.978N,117.911W,4.4
1.2,04/04/2022 06:24,33.526N,116.535W,12.3
1.7,04/04/2022 06:24,33.524N,116.539W,12.11
0,04/04/2022 06:02,33.547N,116.541W,12.17
0.3,04/04/2022 06:02,33.488N,116.551W,8.12
0.6,04/04/2022 05:43,38.834N,122.790W,1.81
2.1,04/04/2022 05:34,38.932N,118.770W,12.6
0.9,04/04/2022 05:31,38.833N,122.801W,1.57
1,04/04/2022 05:15,34.505N,118.158W,11.89
2,04/04/2022 05:07,34.000N,119.096W,9.72
0.4,04/04/2022 04:57,35.924N,117.663W,3.06
1.1,04/04/2022 04:47,38.154N,117.978W,10.1
0.8,04/04/2022 04:47,36.969N,121.618W,6.57
1.6,04/04/2022 04:32,37.544N,121.928W,9.71
0.8,04/04/2022 04:31,38.832N,122.817W,1.69
1.4,04/04/2022 04:16,32.619N,115.762W,4.24
1.8,04/04/2022 04:11,38.153N,117.976W,10.5
1.1,04/04/2022 03:56,37.401N,118.611W,-0.37
0.9,04/04/2022 03:51,38.841N,122.825W,2.19
1.4,04/04/2022 03:51,33.776N,116.106W,7.73
2.2,04/04/2022 03:29,38.174N,117.889W,9.5
0.9,04/04/2022 03:03,38.846N,122.827W,1.44
0.4,04/04/2022 03:03,38.847N,122.829W,1.72
1.1,04/04/2022 02:59,33.907N,117.796W,3.43
1.5,04/04/2022 02:40,37.987N,117.892W,4.2
0.3,04/04/2022 02:27,38.816N,122.758W,1.86
1.4,04/04/2022 01:51,37.986N,117.897W,4.9
-0.2,04/04/2022 01:48,38.834N,122.808W,2.36
2,04/04/2022 01:41,33.542N,115.892W,3.71
1.1,04/04/2022 01:37,38.511N,119.541W,4.5
0.8,04/04/2022 01:25,33.588N,116.807W,7.79
0.6,04/04/2022 01:23,38.177N,117.801W,8.4
0.7,04/04/2022 01:12,33.436N,116.426W,8.68
0.7,04/04/2022 01:07,35.979N,114.868W,7.1
0.6,04/04/2022 01:06,33.289N,116.434W,3.49
0.6,04/04/2022 01:04,37.561N,118.828W,4.52
1.8,04/04/2022 00:59,33.579N,116.808W,7.63
0.6,04/04/2022 00:50,33.201N,116.341W,12.51
0.8,04/04/2022 00:40,38.822N,122.808W,3.06
1.3,04/04/2022 00:11,38.896N,119.649W,0.6
0.9,03/04/2022 23:58,38.823N,122.767W,2.21
1.8,03/04/2022 23:49,33.957N,116.926W,16.21
1.1,03/04/2022 23:32,38.822N,122.767W,2.06
1.2,03/04/2022 23:16,38.820N,122.764W,2.37
1.1,03/04/2022 22:55,34.309N,117.008W,7.08
0.7,03/04/2022 22:29,35.742N,117.573W,3.06
0.9,03/04/2022 22:07,34.305N,118.433W,9.72
0.2,03/04/2022 21:41,38.815N,122.823W,3.1
1.5,03/04/2022 21:35,34.510N,116.516W,6.43
0.8,03/04/2022 21:35,35.761N,117.577W,6.1
0.4,03/04/2022 21:27,38.793N,122.747W,2.59
0.9,03/04/2022 21:11,34.009N,117.179W,16.01
0.5,03/04/2022 21:05,38.809N,122.829W,1.36
0.8,03/04/2022 20:21,38.781N,122.733W,1.84
1.3,03/04/2022 20:21,38.168N,117.821W,9.1
0.9,03/04/2022 20:16,38.819N,122.764W,1.43
0.4,03/04/2022 20:11,38.824N,122.796W,2.85
0.5,03/04/2022 20:04,38.835N,122.795W,2.66
1,03/04/2022 19:54,34.025N,117.159W,9.78
0.4,03/04/2022 19:42,38.835N,122.751W,0.94
2.7,03/04/2022 19:42,36.642N,121.266W,10.35
1,03/04/2022 19:32,34.036N,117.258W,15.82
1.8,03/04/2022 19:25,34.148N,116.725W,0.43
1.1,03/04/2022 19:08,38.788N,122.761W,1.48
0.5,03/04/2022 19:07,33.905N,117.807W,2.97
0.8,03/04/2022 19:04,38.834N,122.805W,1.89
1.1,03/04/2022 18:59,33.486N,116.560W,8.05
0.5,03/04/2022 18:57,33.421N,116.454W,12.81
1.6,03/04/2022 18:48,40.162N,119.629W,7.9
1.2,03/04/2022 18:47,38.833N,122.812W,1.74
1.1,03/04/2022 18:42,38.175N,117.821W,7.9
1.5,03/04/2022 18:41,34.147N,116.725W,1.28
1.2,03/04/2022 17:30,38.834N,122.816W,1.95
2,03/04/2022 17:27,37.993N,117.891W,4.9
0.1,03/04/2022 17:17,38.788N,122.746W,1.23
-0.1,03/04/2022 17:16,36.654N,116.273W,7.1
0.8,03/04/2022 17:08,38.787N,122.768W,1.82
1.2,03/04/2022 16:55,37.272N,121.646W,5.29
0.9,03/04/2022 16:44,38.807N,122.821W,2.11
0.4,03/04/2022 16:40,38.833N,122.802W,1.5
1.6,03/04/2022 16:10,35.049N,117.668W,-0.78
1.2,03/04/2022 15:53,38.789N,122.726W,1.43
2,03/04/2022 15:22,32.384N,115.251W,12.02
0.4,03/04/2022 15:20,38.841N,122.825W,1.85
0.4,03/04/2022 14:42,38.826N,122.799W,2.18
0.2,03/04/2022 14:37,38.789N,122.722W,1.96
0.4,03/04/2022 14:21,38.839N,122.812W,1.62
0.6,03/04/2022 14:17,33.409N,116.446W,13.38
1.3,03/04/2022 14:14,37.606N,121.646W,4.82
1,03/04/2022 14:07,38.836N,122.809W,1.35
1.6,03/04/2022 13:23,37.411N,118.592W,11.31
0.9,03/04/2022 13:12,38.839N,122.809W,1.77
0.9,03/04/2022 13:04,38.840N,122.810W,2.41
1.8,03/04/2022 13:02,33.846N,118.359W,14.39
0.8,03/04/2022 12:59,37.607N,121.660W,8.26
0.6,03/04/2022 12:49,38.836N,122.800W,1.84
0.2,03/04/2022 12:36,38.823N,122.788W,1.15
0.4,03/04/2022 12:28,38.828N,122.822W,1.47
0.4,03/04/2022 11:57,38.817N,122.826W,2.04
1,03/04/2022 11:30,33.907N,117.803W,3.69
1.4,03/04/2022 11:28,39.581N,119.083W,7.6
0.9,03/04/2022 11:27,38.831N,122.819W,1.31
1.2,03/04/2022 11:27,38.831N,122.816W,1.85
1.4,03/04/2022 11:15,38.150N,122.461W,7.14
0.6,03/04/2022 11:14,38.152N,117.882W,10
1.3,03/04/2022 10:27,38.145N,117.990W,9.8
0.5,03/04/2022 10:16,38.798N,122.812W,2.68
1.8,03/04/2022 10:09,36.469N,117.965W,8.3
1.6,03/04/2022 10:00,38.605N,121.935W,1.99
2.8,03/04/2022 09:58,38.168N,117.820W,9
0.4,03/04/2022 09:51,38.839N,122.824W,1.86
2.4,03/04/2022 09:45,33.481N,116.568W,7.99
0.4,03/04/2022 09:43,38.826N,122.852W,1.92
-0.1,03/04/2022 09:27,38.834N,122.796W,2.11
1.3,03/04/2022 09:15,35.678N,117.536W,6.55
1.4,03/04/2022 08:49,35.634N,117.574W,11.93
1.3,03/04/2022 08:40,34.849N,118.915W,9.91
0.4,03/04/2022 08:34,33.519N,116.549W,12.3
1.1,03/04/2022 08:20,34.836N,118.974W,12.41
1.9,03/04/2022 08:13,33.909N,117.788W,3.54
0.5,03/04/2022 07:48,38.800N,122.807W,1.82
1.7,03/04/2022 07:31,38.177N,117.971W,2.6
0.6,03/04/2022 07:18,38.122N,118.749W,0
0.8,03/04/2022 07:08,33.588N,116.804W,7.91
0.7,03/04/2022 06:57,33.441N,116.640W,5.42
0.5,03/04/2022 06:34,33.997N,117.143W,12.34
1.7,03/04/2022 06:10,38.203N,117.877W,7.4
1.2,03/04/2022 05:35,33.840N,116.757W,16.89
1.1,03/04/2022 05:24,33.212N,116.757W,16.77
2.5,03/04/2022 04:53,37.281N,118.407W,7.02
0.4,03/04/2022 04:04,38.839N,122.827W,1.84
1.5,03/04/2022 03:22,34.935N,116.703W,1.22
1,03/04/2022 03:19,38.125N,117.998W,11.7
0.9,03/04/2022 03:06,38.837N,122.808W,2.16
3.6,03/04/2022 02:51,35.038N,116.977W,2.01
0.4,03/04/2022 02:32,38.816N,122.824W,-0.62
0.7,03/04/2022 02:23,38.781N,122.733W,2.32
1.5,03/04/2022 02:10,36.105N,117.886W,4.45
0.7,03/04/2022 02:08,33.384N,116.965W,6.57
0.8,03/04/2022 02:01,36.105N,117.884W,4.3
1.6,03/04/2022 02:00,35.295N,118.574W,5.08
1.5,03/04/2022 01:49,36.107N,117.885W,4.57
0.1,03/04/2022 01:42,38.807N,122.822W,2.55
1,03/04/2022 01:40,34.019N,117.173W,6.64
1.1,03/04/2022 01:24,38.149N,117.987W,9.7
0.9,03/04/2022 01:12,38.838N,122.809W,2.06
0.8,03/04/2022 00:59,38.832N,122.817W,1.84
0.9,03/04/2022 00:59,38.828N,122.805W,1.64
0.9,03/04/2022 00:27,36.105N,117.886W,4.25
1,03/04/2022 00:22,33.495N,116.501W,14.46
1.2,02/04/2022 23:56,38.050N,122.903W,8.51
0.8,02/04/2022 23:36,38.824N,122.798W,2.83
1.7,02/04/2022 23:29,33.585N,116.808W,8.04
1,02/04/2022 23:04,38.815N,122.824W,1.91
1.1,02/04/2022 22:54,38.156N,117.978W,9.9
1.8,02/04/2022 22:51,33.864N,116.829W,14.61
1,02/04/2022 22:51,33.865N,116.825W,13.47
0.7,02/04/2022 22:43,33.181N,116.112W,11.33
0.9,02/04/2022 22:42,35.676N,117.471W,8.97
1,02/04/2022 22:37,38.833N,122.816W,1.88
0.7,02/04/2022 22:26,38.843N,122.876W,2.35
0.8,02/04/2022 21:54,36.040N,117.772W,3.22
1,02/04/2022 21:20,35.946N,117.690W,3.24
1.1,02/04/2022 21:17,35.372N,117.825W,6.67
-0.3,02/04/2022 20:51,39.095N,119.588W,3.8
0.5,02/04/2022 20:24,38.821N,122.791W,2.23
0.3,02/04/2022 19:59,35.616N,117.493W,11.81
0.6,02/04/2022 19:39,37.470N,118.823W,8.5
1.1,02/04/2022 18:58,33.224N,116.059W,9.18
1,02/04/2022 18:58,38.823N,122.767W,2.27
-0.3,02/04/2022 18:54,39.617N,119.845W,1.8
0.5,02/04/2022 18:45,38.819N,122.765W,1.89
0.9,02/04/2022 18:22,38.817N,122.764W,1.78
1.4,02/04/2022 18:04,38.526N,119.537W,3.5
0.2,02/04/2022 18:00,38.784N,122.756W,1.17
0.7,02/04/2022 17:59,38.823N,122.800W,3.15
2.1,02/04/2022 17:47,38.154N,117.981W,10.8
0.5,02/04/2022 17:45,33.491N,116.484W,14.21
0.8,02/04/2022 17:45,33.488N,116.482W,15.16
0.5,02/04/2022 17:41,38.780N,122.768W,1.29
0.7,02/04/2022 17:35,33.587N,116.806W,7.66
1.6,02/04/2022 17:28,34.702N,116.294W,3.71
2.7,02/04/2022 17:25,36.798N,120.746W,4.67
1.1,02/04/2022 17:01,38.834N,122.806W,2.4
1.1,02/04/2022 16:58,38.160N,117.894W,11.1
1.2,02/04/2022 16:51,38.109N,118.044W,3.2
1.3,02/04/2022 16:46,38.121N,117.830W,8.2
0.5,02/04/2022 16:34,38.788N,122.780W,0.87
0.9,02/04/2022 16:07,38.909N,122.897W,3.13
1.4,02/04/2022 15:58,37.995N,117.905W,2.8
1.1,02/04/2022 15:45,36.662N,116.269W,8.1
0.9,02/04/2022 15:41,35.905N,117.743W,8.73
1,02/04/2022 15:08,38.822N,122.800W,2.04
0.9,02/04/2022 15:08,38.821N,122.800W,2.92
1.6,02/04/2022 15:08,38.774N,122.717W,1.71
1.5,02/04/2022 15:03,38.820N,122.799W,2.51
0.8,02/04/2022 14:45,33.489N,116.488W,14.7
0.9,02/04/2022 14:28,38.184N,117.935W,8.2
0.5,02/04/2022 14:22,38.817N,122.760W,1.89
1.8,02/04/2022 14:17,37.336N,119.487W,29.37
0.8,02/04/2022 13:58,33.136N,116.473W,13.16
0.6,02/04/2022 13:43,38.810N,122.793W,3.09
0.8,02/04/2022 13:36,38.810N,122.793W,3.12
0.7,02/04/2022 13:34,33.383N,116.962W,6.42
1.6,02/04/2022 13:22,33.993N,116.989W,16.21
1.2,02/04/2022 13:18,36.814N,121.541W,6
0.9,02/04/2022 13:02,38.809N,122.737W,2.7
0.2,02/04/2022 12:55,35.910N,117.737W,10.87
0.6,02/04/2022 12:55,36.067N,117.851W,4.37
-0.2,02/04/2022 12:54,38.789N,122.778W,1.34
0.1,02/04/2022 12:47,35.884N,117.709W,3.6
0.8,02/04/2022 12:28,33.372N,116.837W,10.22
1.6,02/04/2022 12:21,38.190N,117.758W,3.5
0.9,02/04/2022 12:11,36.066N,117.854W,4.29
0.5,02/04/2022 12:10,36.066N,117.854W,4.34
0.4,02/04/2022 12:03,33.652N,116.693W,17.08
0.7,02/04/2022 12:01,36.018N,117.797W,1.18
1.7,02/04/2022 11:58,37.900N,121.838W,13.37
0.6,02/04/2022 11:56,38.828N,122.814W,2.15
0.9,02/04/2022 11:46,38.798N,122.751W,1.5
0.6,02/04/2022 11:24,38.841N,122.877W,2.53
0.7,02/04/2022 11:10,33.666N,116.731W,16.77
1.7,02/04/2022 11:01,35.668N,121.054W,6.51
2.3,02/04/2022 10:58,33.037N,116.376W,12.52
0.8,02/04/2022 10:28,38.173N,117.890W,11.5
1.1,02/04/2022 10:27,36.627N,116.850W,6.8
1.3,02/04/2022 10:27,33.967N,116.690W,15.59
0.9,02/04/2022 10:17,38.786N,122.759W,2.04
1.2,02/04/2022 10:13,35.691N,117.497W,7.32
1.1,02/04/2022 10:00,36.559N,121.073W,7.15
1.4,02/04/2022 09:58,36.673N,116.266W,6.6
0.7,02/04/2022 09:56,38.835N,122.816W,1.74
1.2,02/04/2022 09:55,38.834N,122.815W,1.94
1.3,02/04/2022 09:51,34.998N,119.096W,7.5
0.1,02/04/2022 09:45,36.067N,117.821W,4.82
0.3,02/04/2022 09:45,36.067N,117.826W,4.68
0.4,02/04/2022 09:35,38.839N,122.802W,1.28
0.7,02/04/2022 09:21,33.702N,116.719W,17.77
1.3,02/04/2022 09:10,36.853N,121.552W,6.36
2.3,02/04/2022 08:58,38.167N,117.798W,12.3
1.4,02/04/2022 07:40,34.029N,117.170W,14.11
0.7,02/04/2022 07:35,35.905N,117.742W,8.61
2.3,02/04/2022 07:05,37.410N,118.589W,11.53
1.1,02/04/2022 06:54,37.408N,118.589W,11.66
1.9,02/04/2022 06:50,37.409N,118.588W,11.95
1,02/04/2022 06:41,33.171N,116.011W,3.3
0.8,02/04/2022 06:39,33.154N,116.427W,7.05
1.6,02/04/2022 06:36,37.409N,118.588W,11.49
2.1,02/04/2022 06:32,37.409N,118.589W,12.4
0.7,02/04/2022 05:56,35.914N,117.679W,7.7
0.9,02/04/2022 05:21,38.837N,122.807W,2.35
1.4,02/04/2022 05:19,37.408N,118.606W,5.03
1.9,02/04/2022 05:16,36.452N,117.967W,8.33
1,02/04/2022 05:15,33.854N,116.822W,16.3
0.9,02/04/2022 05:14,38.832N,122.820W,2.33
0.5,02/04/2022 05:14,38.203N,117.883W,10.2
1.7,02/04/2022 05:11,33.169N,116.018W,3.52
1.9,02/04/2022 05:07,38.626N,119.823W,1.85
1.1,02/04/2022 04:15,36.654N,121.281W,3.44
0.6,02/04/2022 03:54,35.881N,117.695W,9.46
1.8,02/04/2022 03:43,40.281N,124.392W,14.94
3.5,02/04/2022 03:31,41.045N,123.510W,33.39
0.7,02/04/2022 03:26,38.633N,119.828W,12.1
1.1,02/04/2022 03:15,38.819N,122.764W,1.97
1.6,02/04/2022 03:10,34.062N,117.267W,17.13
0.7,02/04/2022 03:00,38.820N,122.808W,3.11
